num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
207,391,259,127,77,2,0,1,0
9,0,0,9,0,0,0,0,0
4114,104,3,4054,36,23,0,1,0
28,1,0,27,1,0,0,0,0
36,240,20,33,2,1,0,0,0
16,1,0,16,0,0,0,0,0
2,0,0,2,0,0,0,0,0
108,5,0,108,0,0,0,0,0
8,0,0,8,0,0,0,0,0
113,12,5,111,2,0,0,0,0
29,0,0,29,0,0,0,0,0
9,0,0,9,0,0,0,0,0
29,0,0,29,0,0,0,0,0
5,0,0,5,0,0,0,0,0
171,236,82,70,100,0,1,0,0
973,45,63,953,13,6,1,0,0
213,64,8,205,3,5,0,0,0
46,0,0,45,1,0,0,0,0
70,10,2,68,0,2,0,0,0
341,0,51,339,2,0,0,0,0
43,2,0,39,2,2,0,0,0
12,2,0,12,0,0,0,0,0
36,15,0,32,0,0,0,4,0
5,0,0,5,0,0,0,0,0
29,1,0,28,1,0,0,0,0
1244,13,1,1244,0,0,0,0,0
591,41,2,591,0,0,0,0,0
136,6,0,132,3,1,0,0,0
29,0,1,29,0,0,0,0,0
296,656,253,168,121,1,5,1,0
230,6,0,230,0,0,0,0,0
177,14,4,177,0,0,0,0,0
47,1,0,45,0,0,1,1,0
2,0,0,2,0,0,0,0,0
170,537,243,106,60,1,1,1,1
78,0,1,77,1,0,0,0,0
19,0,0,19,0,0,0,0,0
3,0,0,3,0,0,0,0,0
299,564,42,262,34,1,1,0,1
1069,20,3,1069,0,0,0,0,0
12,0,0,12,0,0,0,0,0
34,0,0,34,0,0,0,0,0
300,633,55,263,37,0,0,0,0
5,2,2,5,0,0,0,0,0
10,0,0,10,0,0,0,0,0
26,7,0,26,0,0,0,0,0
90,6,0,87,2,1,0,0,0
2520,64,33,2520,0,0,0,0,0
14,0,0,14,0,0,0,0,0
214,528,265,136,78,0,0,0,0
63,0,0,63,0,0,0,0,0
10,1,0,10,0,0,0,0,0
11,1,0,11,0,0,0,0,0
122,0,0,114,8,0,0,0,0
340,1201,47,276,55,1,6,1,1
48,0,9,48,0,0,0,0,0
18,0,0,18,0,0,0,0,0
213,1,0,208,5,0,0,0,0
624,12003,856,516,94,4,8,2,0
370,1491,231,306,61,2,1,0,0
76,17,0,76,0,0,0,0,0
22,6,0,22,0,0,0,0,0
1302,16,0,1302,0,0,0,0,0
247,120,16,232,14,1,0,0,0
2,0,0,2,0,0,0,0,0
151,328,135,92,52,0,3,0,4
2,1,0,2,0,0,0,0,0
37,4,0,37,0,0,0,0,0
8,0,0,8,0,0,0,0,0
12,0,0,12,0,0,0,0,0
32,7,1,32,0,0,0,0,0
153,0,12,150,2,1,0,0,0
135,0,0,128,4,1,0,2,0
55,0,5,55,0,0,0,0,0
302,186,3,244,50,2,4,1,1
125,254,145,90,33,2,0,0,0
1338,6,1,1338,0,0,0,0,0
140,6,0,140,0,0,0,0,0
122,307,70,93,24,0,3,1,1
76,3,15,74,1,1,0,0,0
169,881,141,83,82,0,4,0,0
98,1,9,96,1,1,0,0,0
144,11,0,137,2,4,1,0,0
10,5,0,10,0,0,0,0,0
14,1,0,14,0,0,0,0,0
248,1,0,244,3,1,0,0,0
148,4,3,144,4,0,0,0,0
26,1,0,26,0,0,0,0,0
1,0,0,1,0,0,0,0,0
572,6,2,572,0,0,0,0,0
37,13,0,37,0,0,0,0,0
237,32,3,233,3,1,0,0,0
443,11,0,443,0,0,0,0,0
482,24,0,478,2,2,0,0,0
1,0,3,1,0,0,0,0,0
265,664,191,160,101,1,1,1,1
72,0,0,72,0,0,0,0,0
767,26,2,767,0,0,0,0,0
16,3,1,16,0,0,0,0,0
90,13,1,90,0,0,0,0,0
36,0,0,36,0,0,0,0,0
31,2,0,31,0,0,0,0,0
101,6,0,99,1,1,0,0,0
18,9,0,18,0,0,0,0,0
16,0,0,16,0,0,0,0,0
9,4,0,9,0,0,0,0,0
353,8,2,342,9,1,1,0,0
33,1,0,33,0,0,0,0,0
174,2,0,166,8,0,0,0,0
0,0,0,0,0,0,0,0,0
29,4,0,29,0,0,0,0,0
211,7,0,207,4,0,0,0,0
55,0,5,53,2,0,0,0,0
37,0,1,37,0,0,0,0,0
69,0,1,67,1,1,0,0,0
90,168,56,75,13,2,0,0,0
3,0,0,3,0,0,0,0,0
22,37,0,22,0,0,0,0,0
1477,11,1,1477,0,0,0,0,0
124,12,0,124,0,0,0,0,0
8,0,0,8,0,0,0,0,0
216,16,2,216,0,0,0,0,0
3,0,0,3,0,0,0,0,0
23,4,0,23,0,0,0,0,0
304,469,5,296,4,4,0,0,0
32,0,0,32,0,0,0,0,0
127,7,1,125,2,0,0,0,0
16,3,0,16,0,0,0,0,0
138,3,7,138,0,0,0,0,0
23,6,0,23,0,0,0,0,0
30,0,0,30,0,0,0,0,0
1228,6,1,1225,0,0,3,0,0
226,556,268,146,79,0,1,0,0
8,2,2,8,0,0,0,0,0
180,2176,314,142,33,4,0,0,1
21,10,0,16,3,0,0,1,1
2419,15,14,2419,0,0,0,0,0
629,16,1,610,16,2,1,0,0
4,0,0,4,0,0,0,0,0
255,2,41,253,2,0,0,0,0
12,1,0,12,0,0,0,0,0
195,1176,209,106,85,1,2,1,0
177,193,34,151,25,1,0,0,0
19,0,0,19,0,0,0,0,0
24,12,3,24,0,0,0,0,0
74,10,0,74,0,0,0,0,0
0,0,0,0,0,0,0,0,0
179,454,113,125,52,0,2,0,0
266,2068,453,198,62,2,3,0,1
181,366,150,150,30,1,0,0,0
117,12,6,114,2,1,0,0,0
14,0,0,14,0,0,0,0,0
69,5,0,69,0,0,0,0,0
1029,11,1,1029,0,0,0,0,0
147,17,7,141,5,1,0,0,0
205,2635,146,171,29,1,1,1,2
10,5,0,10,0,0,0,0,0
26,0,0,25,1,0,0,0,0
118,3,0,118,0,0,0,0,0
15,1,0,15,0,0,0,0,0
3,0,0,3,0,0,0,0,0
3,0,0,3,0,0,0,0,0
65,2,4,65,0,0,0,0,0
7,0,0,7,0,0,0,0,0
374,4,0,360,7,7,0,0,0
150,24,2,144,6,0,0,0,0
126,1641,196,81,42,2,1,0,0
56,10,0,56,0,0,0,0,0
45,14,0,40,5,0,0,0,0
305,5,1,295,10,0,0,0,0
121,442,104,73,48,0,0,0,0
21,0,0,21,0,0,0,0,0
70,5,1,69,0,1,0,0,0
424,6,0,424,0,0,0,0,0
38,0,9,38,0,0,0,0,0
184,130,51,161,23,0,0,0,0
75,6,3,75,0,0,0,0,0
124,3,0,121,3,0,0,0,0
17,0,0,17,0,0,0,0,0
1818,33,5,1775,29,6,8,0,0
227,0,0,227,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1841,1389,526,1513,299,13,12,0,4
56,3,0,54,1,1,0,0,0
17,1,0,17,0,0,0,0,0
16,0,0,16,0,0,0,0,0
299,760,228,186,105,1,5,1,1
236,2842,431,114,109,1,9,2,1
906,22,3,906,0,0,0,0,0
121,0,1,121,0,0,0,0,0
158,0,0,157,1,0,0,0,0
122,181,10,113,6,3,0,0,0
6,0,12,6,0,0,0,0,0
10,0,0,10,0,0,0,0,0
60,38,0,60,0,0,0,0,0
29,7,5,29,0,0,0,0,0
187,415,264,114,70,1,2,0,0
26,0,1,26,0,0,0,0,0
495,9,227,443,42,0,0,10,0
67,16,0,66,1,0,0,0,0
53,3,0,51,1,0,1,0,0
151,19,2,129,18,2,1,1,0
51,8,0,51,0,0,0,0,0
26,0,0,26,0,0,0,0,0
18,2,0,18,0,0,0,0,0
136,6,0,131,2,1,2,0,0
1201,86,3,1201,0,0,0,0,0
2126,11,0,2126,0,0,0,0,0
1180,5,0,1180,0,0,0,0,0
265,1138,254,140,120,0,2,1,2
406,18,8,406,0,0,0,0,0
10,0,1,10,0,0,0,0,0
1230,49,0,1230,0,0,0,0,0
44,5,1,41,1,1,1,0,0
0,0,0,0,0,0,0,0,0
270,5,0,268,2,0,0,0,0
10,3,0,10,0,0,0,0,0
1172,1561,1100,1028,132,4,8,0,0
45,2,0,45,0,0,0,0,0
222,1711,463,163,56,1,2,0,0
407,4225,179,318,55,4,26,4,0
7,0,0,7,0,0,0,0,0
107,65,0,104,2,0,0,1,0
17,1,0,17,0,0,0,0,0
345,70,2,335,4,5,1,0,0
27,0,0,27,0,0,0,0,0
228,1,1,220,7,1,0,0,0
115,24,0,114,1,0,0,0,0
8,0,0,8,0,0,0,0,0
2251,3,0,2251,0,0,0,0,0
10,11,0,10,0,0,0,0,0
47,7,0,47,0,0,0,0,0
18,0,0,18,0,0,0,0,0
5,0,0,4,1,0,0,0,0
48,0,0,45,2,1,0,0,0
196,63,2,189,7,0,0,0,0
59,12,1,57,1,1,0,0,0
63,23,1,63,0,0,0,0,0
9,0,0,9,0,0,0,0,0
15,0,0,15,0,0,0,0,0
28,0,2,27,1,0,0,0,0
23,2,0,23,0,0,0,0,0
34,11,1,34,0,0,0,0,0
12,1,4,12,0,0,0,0,0
295,3,10,243,1,0,0,51,0
244,30,5,237,3,4,0,0,0
22,2,0,22,0,0,0,0,0
21,1,2,21,0,0,0,0,0
386,15,14,386,0,0,0,0,0
6,0,0,6,0,0,0,0,0
61,6,0,59,2,0,0,0,0
252,558,41,204,45,1,1,0,1
19,1,3,19,0,0,0,0,0
27,0,0,27,0,0,0,0,0
395,16,0,395,0,0,0,0,0
1271,94,9,1249,11,8,2,1,0
145,328,174,113,29,0,1,1,1
24,8,0,24,0,0,0,0,0
27,0,0,26,0,0,0,1,0
24,5,0,24,0,0,0,0,0
0,0,0,0,0,0,0,0,0
145,4,2,137,2,6,0,0,0
24,0,0,22,2,0,0,0,0
1493,1979,753,1333,139,9,3,8,1
18,0,0,17,0,1,0,0,0
45,7,3,44,1,0,0,0,0
300,5404,219,245,44,1,7,2,1
28,68,7,23,5,0,0,0,0
2444,24,1,2444,0,0,0,0,0
223,119,6,219,1,3,0,0,0
57,0,0,55,1,1,0,0,0
137,162,0,136,0,0,1,0,0
38,0,0,35,1,2,0,0,0
25,0,0,24,1,0,0,0,0
0,0,0,0,0,0,0,0,0
122,2,0,122,0,0,0,0,0
0,0,0,0,0,0,0,0,0
22,4,0,22,0,0,0,0,0
197,1875,624,146,47,1,2,0,1
14,0,0,14,0,0,0,0,0
66,1,0,66,0,0,0,0,0
92,6,0,92,0,0,0,0,0
41,0,5,41,0,0,0,0,0
42,0,0,42,0,0,0,0,0
195,195,2,193,0,0,2,0,0
96,3,0,94,1,0,0,1,0
30,0,0,29,0,1,0,0,0
974,10,0,974,0,0,0,0,0
21,11,0,21,0,0,0,0,0
4,0,0,4,0,0,0,0,0
2,0,0,2,0,0,0,0,0
11,0,7,11,0,0,0,0,0
21,4,0,21,0,0,0,0,0
18,3,0,18,0,0,0,0,0
1905,1186,2,1876,7,22,0,0,0
19,0,1,19,0,0,0,0,0
2420,75,17,2392,20,8,0,0,0
132,263,43,106,25,0,0,1,0
12,0,0,12,0,0,0,0,0
422,9831,592,362,45,7,6,2,0
217,23,5,211,4,2,0,0,0
105,20,0,104,0,1,0,0,0
412,4,2,399,13,0,0,0,0
2,0,0,2,0,0,0,0,0
14,11,0,14,0,0,0,0,0
58,2,0,58,0,0,0,0,0
15,0,0,15,0,0,0,0,0
247,3529,163,217,17,1,8,4,0
28,4,0,28,0,0,0,0,0
41,0,2,40,1,0,0,0,0
52,10,0,52,0,0,0,0,0
237,33,0,230,6,1,0,0,0
2,0,0,2,0,0,0,0,0
12,6,0,12,0,0,0,0,0
14,0,0,14,0,0,0,0,0
32,0,0,32,0,0,0,0,0
219,316,36,170,46,3,0,0,0
428,14,0,419,4,5,0,0,0
66,14,1,65,1,0,0,0,0
141,24,2,140,0,1,0,0,0
1168,104,49,1133,17,17,1,0,0
18,7,0,18,0,0,0,0,0
21,31,1,20,0,1,0,0,0
9,0,0,9,0,0,0,0,0
101,1,8,100,1,0,0,0,0
440,1112,322,256,176,3,3,0,2
158,6,0,153,4,1,0,0,0
67,29,0,67,0,0,0,0,0
127,25,2,121,5,1,0,0,0
31,0,0,30,0,1,0,0,0
164,136,48,146,15,2,0,1,0
68,7,0,68,0,0,0,0,0
71,14,7,70,0,0,0,1,0
19,0,0,19,0,0,0,0,0
191,35,0,180,1,0,2,0,8
382,3035,528,205,155,2,17,3,0
17,4,1,17,0,0,0,0,0
11,2,0,11,0,0,0,0,0
165,1630,169,119,42,0,3,1,0
18,0,0,18,0,0,0,0,0
30,0,6,29,1,0,0,0,0
406,1156,139,310,94,1,0,1,0
721,436,113,651,62,4,1,2,1
21,4,0,20,1,0,0,0,0
201,672,154,131,67,2,0,0,1
154,1138,408,128,25,1,0,0,0
20,0,0,20,0,0,0,0,0
67,558,43,55,7,1,4,0,0
433,1814,451,269,160,0,3,0,1
5,0,0,5,0,0,0,0,0
963,6,0,963,0,0,0,0,0
849,25,1,849,0,0,0,0,0
29,0,0,29,0,0,0,0,0
230,6,0,222,6,2,0,0,0
89,20,1,87,2,0,0,0,0
66,0,5,65,1,0,0,0,0
15,0,0,15,0,0,0,0,0
31,3,0,30,1,0,0,0,0
42,0,1,40,1,0,1,0,0
570,7524,338,432,114,8,12,4,0
482,1278,176,351,124,2,5,0,0
20,1,0,20,0,0,0,0,0
102,4,0,102,0,0,0,0,0
50,4,1,49,1,0,0,0,0
2,0,0,2,0,0,0,0,0
74,9,6,74,0,0,0,0,0
96,1,0,94,2,0,0,0,0
57,0,59,57,0,0,0,0,0
30,0,0,30,0,0,0,0,0
359,6,0,359,0,0,0,0,0
257,1096,206,143,110,0,2,0,2
10,0,0,10,0,0,0,0,0
27,8,0,27,0,0,0,0,0
384,2297,607,326,51,4,2,0,1
7,0,1,7,0,0,0,0,0
40,14,0,37,2,1,0,0,0
2399,11,0,2399,0,0,0,0,0
162,418,163,108,49,1,4,0,0
423,1661,584,266,152,0,2,1,2
437,4,0,437,0,0,0,0,0
46,0,13,46,0,0,0,0,0
1957,124,10,1908,27,21,1,0,0
2,0,0,2,0,0,0,0,0
101,1,0,101,0,0,0,0,0
40,1,1,40,0,0,0,0,0
2030,28,0,2030,0,0,0,0,0
73,1,17,66,4,0,0,3,0
296,1756,422,136,151,1,6,1,1
63,0,0,61,1,0,1,0,0
2635,308,11,2605,19,11,0,0,0
1228,887,408,865,259,89,9,3,3
16,0,1,15,1,0,0,0,0
18,3,0,18,0,0,0,0,0
2137,44,3,2137,0,0,0,0,0
320,2,0,320,0,0,0,0,0
6,0,0,6,0,0,0,0,0
147,2,17,144,2,1,0,0,0
3,0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0
19,3,0,19,0,0,0,0,0
829,6940,1055,648,166,5,4,2,4
22,3,0,22,0,0,0,0,0
229,3,0,225,4,0,0,0,0
8,0,1,7,1,0,0,0,0
242,4,0,242,0,0,0,0,0
1,0,0,1,0,0,0,0,0
170,9,1,167,3,0,0,0,0
1,0,0,1,0,0,0,0,0
25,6,0,25,0,0,0,0,0
0,0,0,0,0,0,0,0,0
18,0,0,18,0,0,0,0,0
956,6,0,956,0,0,0,0,0
25,2,0,25,0,0,0,0,0
0,0,0,0,0,0,0,0,0
242,351,15,238,3,1,0,0,0
505,21,11,505,0,0,0,0,0
260,6,0,260,0,0,0,0,0
1,0,1,1,0,0,0,0,0
5,0,0,5,0,0,0,0,0
305,1724,223,248,49,3,2,2,1
679,64,1,664,0,3,1,11,0
38,5,0,37,0,1,0,0,0
322,8,1,311,8,3,0,0,0
45,2,0,44,1,0,0,0,0
140,1,0,138,1,1,0,0,0
5,2,0,5,0,0,0,0,0
56,4,0,51,0,0,5,0,0
26,4,0,24,0,0,0,2,0
60,2,0,60,0,0,0,0,0
19,4,0,19,0,0,0,0,0
91,432,32,77,14,0,0,0,0
1,0,0,1,0,0,0,0,0
38,8,0,37,0,1,0,0,0
60,8,0,60,0,0,0,0,0
287,916,286,165,119,0,1,1,1
3,0,0,3,0,0,0,0,0
27,18,0,27,0,0,0,0,0
29,7,0,29,0,0,0,0,0
413,7,2,413,0,0,0,0,0
0,0,0,0,0,0,0,0,0
165,0,0,156,5,0,0,4,0
206,1,38,202,3,1,0,0,0
2,0,0,2,0,0,0,0,0
167,442,174,91,71,1,4,0,0
133,28,0,127,6,0,0,0,0
29,1,0,29,0,0,0,0,0
385,12,0,385,0,0,0,0,0
24,0,0,24,0,0,0,0,0
219,627,230,134,76,3,6,0,0
225,559,166,125,98,0,1,0,1
42,0,0,37,2,0,3,0,0
20,0,0,20,0,0,0,0,0
21,0,0,21,0,0,0,0,0
51,7,0,48,0,1,0,0,2
1,0,0,1,0,0,0,0,0
64,32,1,64,0,0,0,0,0
8,0,0,7,1,0,0,0,0
2,0,0,2,0,0,0,0,0
123,110,7,113,9,1,0,0,0
1956,17,1,1956,0,0,0,0,0
4094,61,6,4094,0,0,0,0,0
134,3,0,134,0,0,0,0,0
75,0,0,75,0,0,0,0,0
126,4,1,122,3,1,0,0,0
75,15,0,75,0,0,0,0,0
147,226,207,111,36,0,0,0,0
1053,5,1,1053,0,0,0,0,0
34,0,0,33,0,1,0,0,0
16,0,1,16,0,0,0,0,0
71,0,5,61,0,0,0,10,0
383,8,1,367,13,3,0,0,0
157,124,1,157,0,0,0,0,0
586,61,19,580,5,0,1,0,0
18,0,0,18,0,0,0,0,0
545,13,0,545,0,0,0,0,0
165,9,0,165,0,0,0,0,0
20,1,0,20,0,0,0,0,0
34,0,0,34,0,0,0,0,0
93,54,0,91,2,0,0,0,0
56,1226,75,50,3,2,1,0,0
336,4,18,333,2,1,0,0,0
99,5,0,92,1,5,1,0,0
1741,2257,2139,1155,504,69,11,2,0
36,18,1,36,0,0,0,0,0
281,809,171,181,97,1,2,0,0
5,0,0,5,0,0,0,0,0
37,0,0,35,2,0,0,0,0
10,0,0,10,0,0,0,0,0
74,0,0,74,0,0,0,0,0
404,1129,150,328,68,4,4,0,0
309,10,0,300,2,0,7,0,0
26,0,0,26,0,0,0,0,0
31,12,0,31,0,0,0,0,0
329,1909,137,240,85,1,2,0,1
417,11,0,417,0,0,0,0,0
14,2,1,14,0,0,0,0,0
160,1020,61,122,38,0,0,0,0
14,2,0,14,0,0,0,0,0
